,Affiliate,Age,Height,Weight,Sprint 400m,Clean & Jerk,Snatch,Deadlift,Back Squat,Max Pull-ups
Elijah Hockensmith,CrossFit Charleston,21.0,74.0,217.0,0:54,315.0,285.0,525.0,400.0,75.0
Joshua Skepper,Reebok CrossFit Glevum,23.0,67.0,165.0,0:00,242.0,198.0,352.0,286.0,0.0
Michael Goods,WGA CrossFit,27.0,6.0,176.0,0:57,271.0,220.0,529.0,440.0,60.0
Tor Wigum,CrossFit Tromso,35.0,0.0,176.0,--,0.0,0.0,0.0,0.0,0.0
Pit Ressler,,27.0,6.0,187.0,0:00,0.0,0.0,0.0,0.0,0.0
Jason Kinnick,CrossFit Kinnick,39.0,72.0,199.0,0:00,0.0,0.0,0.0,0.0,0.0
Austin Garcia,CrossFit Grandview,22.0,75.0,220.0,0:00,0.0,0.0,0.0,0.0,0.0
Nick Gagliano,CrossFit X-treme Athletics,29.0,75.0,235.0,0:00,345.0,295.0,490.0,410.0,0.0
Tyler Lee,Unaffiliated,27.0,70.0,200.0,--,0.0,0.0,0.0,0.0,0.0
Adam Wilson,,34.0,66.0,156.0,0:00,265.0,215.0,425.0,360.0,70.0
Zak Anderson,CrossFit Rowlett,27.0,67.0,178.0,--,0.0,0.0,485.0,440.0,0.0
Michael Cazayoux,CrossFit West,26.0,69.0,190.0,0:56,305.0,225.0,500.0,425.0,0.0
Ben Rogers,CrossFit Mayhem,23.0,68.0,179.0,0:52,305.0,255.0,445.0,405.0,0.0
Christoffer Gammelgaard,CrossFit Gold Box,27.0,7.0,211.0,0:00,319.0,253.0,529.0,418.0,0.0
Juan Gonzalez,Space Coast CrossFit,27.0,66.0,160.0,0:59,330.0,250.0,545.0,425.0,0.0
Aaron Esparza,CrossFit Jaakarhu,21.0,68.0,170.0,0:00,315.0,230.0,500.0,400.0,56.0
Anders Gronsund,CrossFit Centrum,29.0,6.0,154.0,0:00,275.0,220.0,440.0,376.0,67.0
Stefano Italiano,Reebok CrossFit Ravenna,30.0,6.0,178.0,0:00,264.0,209.0,454.0,352.0,0.0
JP Hernández,CrossFit Downtown Miami,20.0,60.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Isaac Campbell,Verdant CrossFit,21.0,69.0,185.0,1:00,305.0,240.0,465.0,395.0,67.0
Gerhard van der Merwe,CrossFit PBM,27.0,7.0,187.0,0:54,320.0,280.0,506.0,418.0,55.0
Alexander Hunt,Advanced Performance CrossFit,23.0,0.0,165.0,--,0.0,0.0,0.0,0.0,0.0
brian horwath,Hackettstown CrossFit,27.0,66.0,155.0,--,285.0,235.0,505.0,375.0,50.0
Nelson Gonzalez Benitez,CrossFit 393,28.0,6.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Aaron Vaughn,CrossFit CLC,22.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Joseph Dinkel,CrossFit Blue and Gold,23.0,0.0,170.0,--,0.0,0.0,0.0,0.0,0.0
Patrick Barr,CrossFit Trussville,27.0,73.0,190.0,0:00,305.0,235.0,465.0,365.0,52.0
Caleb Woods,CrossFit Spokane Valley,23.0,69.0,160.0,--,315.0,235.0,445.0,410.0,70.0
Julio Gutierrez,CrossFit Union Square,28.0,67.0,168.0,--,5.0,3.0,525.0,425.0,78.0
Keith Cooper,CrossFit Descendants,23.0,67.0,177.0,--,0.0,0.0,0.0,0.0,0.0
Jose Luis Insua,CrossFit Teatinos,27.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
David Levey,CrossFit Algoa,39.0,6.0,200.0,0:50,319.0,268.0,473.0,440.0,60.0
Charles Felx Leduc,CrossFit Adm,29.0,6.0,207.0,1:02,325.0,295.0,565.0,510.0,70.0
Hyuksan Kwon,Reebok CrossFit Fighting Spirit,30.0,6.0,182.0,--,310.0,235.0,435.0,405.0,0.0
