,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
27765,Samantha Chapman,I-Women,10020,1507,99,3645,60,4558,358,538,246,459,104,820
6249,Lindsay Schartz,I-Women,10022,1508,106,1604,63,3316,309,1742,240,1414,89,1946
37114,Jacquelyn Barber,I-Women,10028,1509,97,4201,71,1846,304,1922,244,651,96,1408
18372,Misty Thomas,I-Women,10030,1510,98,3908,73,1558,309,1742,240,1414,96,1408
37401,Nicole DeKeyzer,I-Women,10032,1511,124,92,60,4558,311,1656,240,1414,86,2312
15394,Emily Carlsen,I-Women,10038,1512,116,387,60,4558,291,2406,240,1414,98,1273
46225,Lisa Vaught,I-Women,10044,1513,97,4201,75,1322,310,1699,240,1414,96,1408
49702,Becky Garza,I-Women,10045,1514,109,1129,64,3065,281,2898,240,1414,94,1539
6113,Marly Campos,I-Women,10047,1515,117,328,60,4558,351,659,241,1152,80,3350
65140,Maria Trethaway,I-Women,10050,1516,105,1819,60,4558,345,784,240,1414,95,1475
13932,Tara Carrillo,I-Women,10057,1517,99,3645,69,2133,318,1390,240,1414,95,1475
19605,Marisa McKay,I-Women,10058,1518,95,4890,71,1846,328,1088,240,1414,104,820
1782,Ginny Gallegos,I-Women,10060,1519,114,540,60,4558,346,767,240,1414,83,2781
59559,Capri Morton,I-Women,10069,1520,106,1604,60,4558,312,1613,240,1414,103,880
14984,Ellen Pittakas,I-Women,10079,1521,110,963,60,4558,314,1551,240,1414,93,1593
23651,Adrienne Sprague,I-Women,10088,1522,116,387,60,4558,285,2685,240,1414,101,1044
44842,Catalina Morris,I-Women,10088,1522,101,2921,75,1322,315,1472,240,1414,82,2959
5385,Shanon Tipton,I-Women,10107,1524,112,702,60,4558,295,2287,241,1152,96,1408
7948,Kristine Hatfield,I-Women,10109,1525,95,4890,76,1224,298,2182,247,405,96,1408
28972,Pip Nuttall,I-Women,10112,1526,119,242,60,4558,286,2625,240,1414,98,1273
29106,Maya Lourenço Levin,I-Women,10112,1526,103,2314,65,2822,303,1970,242,962,88,2044
80085,Jessica Latham,I-Women,10119,1528,112,702,68,2289,279,3017,241,1152,82,2959
50447,megan keatley,I-Women,10129,1529,103,2314,81,823,267,3897,243,783,86,2312
46812,Allison Suhr,I-Women,10135,1530,107,1420,73,1558,280,2962,240,1414,83,2781
6501,Lauren Scholl,I-Women,10145,1531,103,2314,84,619,279,3017,240,1414,83,2781
30329,Courtneyrose Keller,I-Women,10150,1532,97,4201,84,619,303,1970,240,1414,89,1946
38845,Kirsten Peterson,I-Women,10163,1533,93,5693,87,465,330,1052,240,1414,94,1539
56748,Gina Mirenzi,I-Women,10171,1534,104,2074,71,1846,289,2469,241,1152,84,2630
28721,Jill Weeks,I-Women,10172,1535,105,1819,60,4558,327,1108,240,1414,98,1273
13339,Sarah Ramos,I-Women,10181,1536,116,387,60,4558,311,1656,240,1414,87,2166
54542,Becki Couling,I-Women,10195,1537,101,2921,69,2133,303,1970,240,1414,90,1757
39735,Heather Nees,I-Women,10199,1538,104,2074,72,1690,296,2240,240,1414,83,2781
26205,Crystal Willis,I-Women,10201,1539,105,1819,65,2822,374,388,240,1414,78,3758
28593,julie whiting,I-Women,10201,1539,93,5693,86,511,324,1175,240,1414,96,1408
